2022-02-16 08:08:53.134 [INFO] | 200 |  484.419735ms |  178.199.18.126 |      S3 | GET      "/api/v1/objects/1KB.txt"
2022-02-16 08:09:02.665 [INFO] | 200 |    1.126308ms |  178.199.18.126 |      EC | GET      "/api/v1/objects/1KB.txt"
2022-02-16 08:09:12.683 [INFO] | 200 |    4.511943ms |  178.199.18.126 |      EC | GET      "/api/v1/objects/1KB.txt"
2022-02-16 08:09:22.685 [INFO] | 200 |    1.008813ms |  178.199.18.126 |      EC | GET      "/api/v1/objects/1KB.txt"
2022-02-16 08:09:32.691 [INFO] | 200 |    1.088562ms |  178.199.18.126 |      EC | GET      "/api/v1/objects/1KB.txt"
2022-02-16 08:09:42.704 [INFO] | 200 |     999.298µs |  178.199.18.126 |      EC | GET      "/api/v1/objects/1KB.txt"
2022-02-16 08:09:52.716 [INFO] | 200 |    1.186981ms |  178.199.18.126 |      EC | GET      "/api/v1/objects/1KB.txt"
2022-02-16 08:10:02.717 [INFO] | 200 |    1.102249ms |  178.199.18.126 |      EC | GET      "/api/v1/objects/1KB.txt"
2022-02-16 08:10:12.719 [INFO] | 200 |     1.02014ms |  178.199.18.126 |      EC | GET      "/api/v1/objects/1KB.txt"
2022-02-16 08:10:22.719 [INFO] | 200 |    1.007227ms |  178.199.18.126 |      EC | GET      "/api/v1/objects/1KB.txt"
2022-02-16 08:10:32.721 [INFO] | 200 |    1.116149ms |  178.199.18.126 |      EC | GET      "/api/v1/objects/1KB.txt"
2022-02-16 08:10:42.724 [INFO] | 200 |    1.010631ms |  178.199.18.126 |      EC | GET      "/api/v1/objects/1KB.txt"
2022-02-16 08:10:52.716 [INFO] | 200 |    1.071843ms |  178.199.18.126 |      EC | GET      "/api/v1/objects/1KB.txt"
2022-02-16 08:11:02.716 [INFO] | 200 |    1.054969ms |  178.199.18.126 |      EC | GET      "/api/v1/objects/1KB.txt"
2022-02-16 08:11:12.728 [INFO] | 200 |     1.06275ms |  178.199.18.126 |      EC | GET      "/api/v1/objects/1KB.txt"
2022-02-16 08:11:22.719 [INFO] | 200 |    1.033083ms |  178.199.18.126 |      EC | GET      "/api/v1/objects/1KB.txt"
2022-02-16 08:11:32.727 [INFO] | 200 |    3.958597ms |  178.199.18.126 |      EC | GET      "/api/v1/objects/1KB.txt"
2022-02-16 08:11:42.724 [INFO] | 200 |    1.160607ms |  178.199.18.126 |      EC | GET      "/api/v1/objects/1KB.txt"
2022-02-16 08:11:52.728 [INFO] | 200 |    1.076306ms |  178.199.18.126 |      EC | GET      "/api/v1/objects/1KB.txt"
2022-02-16 08:12:02.719 [INFO] | 200 |    1.154363ms |  178.199.18.126 |      EC | GET      "/api/v1/objects/1KB.txt"
2022-02-16 08:12:12.716 [INFO] | 200 |    1.102182ms |  178.199.18.126 |      EC | GET      "/api/v1/objects/1KB.txt"
2022-02-16 08:12:22.719 [INFO] | 200 |    1.141423ms |  178.199.18.126 |      EC | GET      "/api/v1/objects/1KB.txt"
2022-02-16 08:12:32.716 [INFO] | 200 |    1.055272ms |  178.199.18.126 |      EC | GET      "/api/v1/objects/1KB.txt"
2022-02-16 08:12:42.725 [INFO] | 200 |     1.07218ms |  178.199.18.126 |      EC | GET      "/api/v1/objects/1KB.txt"
2022-02-16 08:12:52.719 [INFO] | 200 |     982.464µs |  178.199.18.126 |      EC | GET      "/api/v1/objects/1KB.txt"
2022-02-16 08:13:02.727 [INFO] | 200 |     1.12278ms |  178.199.18.126 |      EC | GET      "/api/v1/objects/1KB.txt"
2022-02-16 08:13:12.725 [INFO] | 200 |    1.062504ms |  178.199.18.126 |      EC | GET      "/api/v1/objects/1KB.txt"
2022-02-16 08:13:22.725 [INFO] | 200 |    1.126923ms |  178.199.18.126 |      EC | GET      "/api/v1/objects/1KB.txt"
2022-02-16 08:13:32.726 [INFO] | 200 |     1.04601ms |  178.199.18.126 |      EC | GET      "/api/v1/objects/1KB.txt"
2022-02-16 08:13:42.724 [INFO] | 200 |     2.32599ms |  178.199.18.126 |      EC | GET      "/api/v1/objects/1KB.txt"
