2022-02-15 19:59:52.553 [INFO] [ginAPI] | 200 |     911.162µs |  178.199.18.126 |   redis | GET      "/api/v1/objects/1KB.txt"
2022-02-15 20:00:02.561 [INFO] [ginAPI] | 200 |    1.208752ms |  178.199.18.126 |   redis | GET      "/api/v1/objects/1KB.txt"
2022-02-15 20:00:12.579 [INFO] [ginAPI] | 200 |     1.03502ms |  178.199.18.126 |   redis | GET      "/api/v1/objects/1KB.txt"
2022-02-15 20:00:22.581 [INFO] [ginAPI] | 200 |      861.89µs |  178.199.18.126 |   redis | GET      "/api/v1/objects/1KB.txt"
2022-02-15 20:00:32.599 [INFO] [ginAPI] | 200 |    1.004789ms |  178.199.18.126 |   redis | GET      "/api/v1/objects/1KB.txt"
2022-02-15 20:00:42.601 [INFO] [ginAPI] | 200 |     817.681µs |  178.199.18.126 |   redis | GET      "/api/v1/objects/1KB.txt"
2022-02-15 20:00:52.610 [INFO] [ginAPI] | 200 |     836.043µs |  178.199.18.126 |   redis | GET      "/api/v1/objects/1KB.txt"
2022-02-15 20:01:02.621 [INFO] [ginAPI] | 200 |     965.666µs |  178.199.18.126 |   redis | GET      "/api/v1/objects/1KB.txt"
2022-02-15 20:01:12.628 [INFO] [ginAPI] | 200 |     879.502µs |  178.199.18.126 |   redis | GET      "/api/v1/objects/1KB.txt"
2022-02-15 20:01:22.612 [INFO] [ginAPI] | 200 |     934.387µs |  178.199.18.126 |   redis | GET      "/api/v1/objects/1KB.txt"
2022-02-15 20:01:32.628 [INFO] [ginAPI] | 200 |     854.487µs |  178.199.18.126 |   redis | GET      "/api/v1/objects/1KB.txt"
2022-02-15 20:01:42.590 [INFO] [ginAPI] | 200 |     968.162µs |  178.199.18.126 |   redis | GET      "/api/v1/objects/1KB.txt"
2022-02-15 20:01:52.628 [INFO] [ginAPI] | 200 |     835.794µs |  178.199.18.126 |   redis | GET      "/api/v1/objects/1KB.txt"
2022-02-15 20:02:02.629 [INFO] [ginAPI] | 200 |      941.03µs |  178.199.18.126 |   redis | GET      "/api/v1/objects/1KB.txt"
2022-02-15 20:02:12.626 [INFO] [ginAPI] | 200 |     814.113µs |  178.199.18.126 |   redis | GET      "/api/v1/objects/1KB.txt"
2022-02-15 20:02:22.618 [INFO] [ginAPI] | 200 |     798.129µs |  178.199.18.126 |   redis | GET      "/api/v1/objects/1KB.txt"
2022-02-15 20:02:32.628 [INFO] [ginAPI] | 200 |     855.854µs |  178.199.18.126 |   redis | GET      "/api/v1/objects/1KB.txt"
2022-02-15 20:02:42.627 [INFO] [ginAPI] | 200 |    1.038554ms |  178.199.18.126 |   redis | GET      "/api/v1/objects/1KB.txt"
2022-02-15 20:02:52.629 [INFO] [ginAPI] | 200 |     834.245µs |  178.199.18.126 |   redis | GET      "/api/v1/objects/1KB.txt"
2022-02-15 20:03:02.631 [INFO] [ginAPI] | 200 |     928.384µs |  178.199.18.126 |   redis | GET      "/api/v1/objects/1KB.txt"
2022-02-15 20:03:12.629 [INFO] [ginAPI] | 200 |     844.864µs |  178.199.18.126 |   redis | GET      "/api/v1/objects/1KB.txt"
2022-02-15 20:03:22.631 [INFO] [ginAPI] | 200 |      869.85µs |  178.199.18.126 |   redis | GET      "/api/v1/objects/1KB.txt"
2022-02-15 20:03:32.631 [INFO] [ginAPI] | 200 |     896.862µs |  178.199.18.126 |   redis | GET      "/api/v1/objects/1KB.txt"
2022-02-15 20:03:42.629 [INFO] [ginAPI] | 200 |     864.583µs |  178.199.18.126 |   redis | GET      "/api/v1/objects/1KB.txt"
2022-02-15 20:03:52.629 [INFO] [ginAPI] | 200 |      947.16µs |  178.199.18.126 |   redis | GET      "/api/v1/objects/1KB.txt"
2022-02-15 20:04:02.624 [INFO] [ginAPI] | 200 |     823.474µs |  178.199.18.126 |   redis | GET      "/api/v1/objects/1KB.txt"
2022-02-15 20:04:12.629 [INFO] [ginAPI] | 200 |      820.78µs |  178.199.18.126 |   redis | GET      "/api/v1/objects/1KB.txt"
2022-02-15 20:04:22.625 [INFO] [ginAPI] | 200 |     905.361µs |  178.199.18.126 |   redis | GET      "/api/v1/objects/1KB.txt"
2022-02-15 20:04:32.629 [INFO] [ginAPI] | 200 |       828.1µs |  178.199.18.126 |   redis | GET      "/api/v1/objects/1KB.txt"
2022-02-15 20:04:42.610 [INFO] [ginAPI] | 200 |     823.696µs |  178.199.18.126 |   redis | GET      "/api/v1/objects/1KB.txt"
