2022-02-15 19:27:47.543 [INFO] [ginAPI] | 200 |   47.868843ms |  178.199.18.126 |   redis | GET      "/api/v1/objects/1MB.txt"
2022-02-15 19:27:57.555 [INFO] [ginAPI] | 200 |   50.869524ms |  178.199.18.126 |   redis | GET      "/api/v1/objects/1MB.txt"
2022-02-15 19:28:07.558 [INFO] [ginAPI] | 200 |   48.209423ms |  178.199.18.126 |   redis | GET      "/api/v1/objects/1MB.txt"
2022-02-15 19:28:17.571 [INFO] [ginAPI] | 200 |   47.251756ms |  178.199.18.126 |   redis | GET      "/api/v1/objects/1MB.txt"
2022-02-15 19:28:27.577 [INFO] [ginAPI] | 200 |   47.905718ms |  178.199.18.126 |   redis | GET      "/api/v1/objects/1MB.txt"
2022-02-15 19:28:37.591 [INFO] [ginAPI] | 200 |   49.812554ms |  178.199.18.126 |   redis | GET      "/api/v1/objects/1MB.txt"
2022-02-15 19:28:47.598 [INFO] [ginAPI] | 200 |   48.906688ms |  178.199.18.126 |   redis | GET      "/api/v1/objects/1MB.txt"
2022-02-15 19:28:57.612 [INFO] [ginAPI] | 200 |   49.979194ms |  178.199.18.126 |   redis | GET      "/api/v1/objects/1MB.txt"
2022-02-15 19:29:07.618 [INFO] [ginAPI] | 200 |   50.292349ms |  178.199.18.126 |   redis | GET      "/api/v1/objects/1MB.txt"
2022-02-15 19:29:17.619 [INFO] [ginAPI] | 200 |   52.186359ms |  178.199.18.126 |   redis | GET      "/api/v1/objects/1MB.txt"
2022-02-15 19:29:27.622 [INFO] [ginAPI] | 200 |      53.058ms |  178.199.18.126 |   redis | GET      "/api/v1/objects/1MB.txt"
2022-02-15 19:29:37.620 [INFO] [ginAPI] | 200 |   51.912384ms |  178.199.18.126 |   redis | GET      "/api/v1/objects/1MB.txt"
2022-02-15 19:29:47.620 [INFO] [ginAPI] | 200 |   51.970083ms |  178.199.18.126 |   redis | GET      "/api/v1/objects/1MB.txt"
2022-02-15 19:29:57.621 [INFO] [ginAPI] | 200 |   52.857959ms |  178.199.18.126 |   redis | GET      "/api/v1/objects/1MB.txt"
2022-02-15 19:30:07.618 [INFO] [ginAPI] | 200 |   50.955546ms |  178.199.18.126 |   redis | GET      "/api/v1/objects/1MB.txt"
2022-02-15 19:30:17.619 [INFO] [ginAPI] | 200 |   50.892135ms |  178.199.18.126 |   redis | GET      "/api/v1/objects/1MB.txt"
2022-02-15 19:30:27.613 [INFO] [ginAPI] | 200 |   50.125534ms |  178.199.18.126 |   redis | GET      "/api/v1/objects/1MB.txt"
2022-02-15 19:30:37.616 [INFO] [ginAPI] | 200 |   51.044079ms |  178.199.18.126 |   redis | GET      "/api/v1/objects/1MB.txt"
2022-02-15 19:30:47.618 [INFO] [ginAPI] | 200 |   50.849718ms |  178.199.18.126 |   redis | GET      "/api/v1/objects/1MB.txt"
2022-02-15 19:30:57.618 [INFO] [ginAPI] | 200 |   52.361939ms |  178.199.18.126 |   redis | GET      "/api/v1/objects/1MB.txt"
2022-02-15 19:31:07.620 [INFO] [ginAPI] | 200 |    52.13518ms |  178.199.18.126 |   redis | GET      "/api/v1/objects/1MB.txt"
2022-02-15 19:31:17.632 [INFO] [ginAPI] | 200 |   65.149773ms |  178.199.18.126 |   redis | GET      "/api/v1/objects/1MB.txt"
2022-02-15 19:31:27.619 [INFO] [ginAPI] | 200 |    51.06192ms |  178.199.18.126 |   redis | GET      "/api/v1/objects/1MB.txt"
2022-02-15 19:31:37.621 [INFO] [ginAPI] | 200 |   53.018622ms |  178.199.18.126 |   redis | GET      "/api/v1/objects/1MB.txt"
2022-02-15 19:31:47.620 [INFO] [ginAPI] | 200 |    51.96431ms |  178.199.18.126 |   redis | GET      "/api/v1/objects/1MB.txt"
2022-02-15 19:31:57.619 [INFO] [ginAPI] | 200 |   51.072938ms |  178.199.18.126 |   redis | GET      "/api/v1/objects/1MB.txt"
2022-02-15 19:32:07.620 [INFO] [ginAPI] | 200 |   51.289004ms |  178.199.18.126 |   redis | GET      "/api/v1/objects/1MB.txt"
2022-02-15 19:32:17.618 [INFO] [ginAPI] | 200 |   51.042633ms |  178.199.18.126 |   redis | GET      "/api/v1/objects/1MB.txt"
2022-02-15 19:32:27.619 [INFO] [ginAPI] | 200 |   51.071574ms |  178.199.18.126 |   redis | GET      "/api/v1/objects/1MB.txt"
2022-02-15 19:32:37.619 [INFO] [ginAPI] | 200 |    51.19357ms |  178.199.18.126 |   redis | GET      "/api/v1/objects/1MB.txt"
